AADAT	ERCC5
ABL2	ZEB1
ABL2	ZFP57
ABL2	ZNF136
ABL2	ZNF148
ABL2	ZNF157
ABL2	ZNF174
ABL2	ZNF177
ABL2	ZNF189
ABL2	ZNF202
ABL2	ZNF205
ABL2	ZNF254
ABL2	ZNF345
ABL2	ZNF366
ABL2	ZNF496
ABL2	ZNF675
ABL2	ZNF8
ABR	AKT1
ABR	AKT2
ABR	ALK
ABR	ARHGEF12
ABR	ATM
ABR	BCR
ABR	BMPR1A
ABR	BRAF
ABR	BUB1B
ABR	CCND2
ABR	CCNE1
ABR	CDK4
ABR	CDK6
ABR	CDKN2C
ABR	CHN1
ABR	DNM2
ABR	EGFR
ABR	ERBB2
ABR	FBXO11
ABR	FBXW7
ABR	FGFR1
ABR	ITK
ABR	JAK1
ABR	JAK2
ABR	JAK3
ABR	KIT
ABR	LCK
ABR	MAP2K1
ABR	MAP2K2
ABR	MAP2K4
ABR	MET
ABR	MYH9
ABR	NF1
ABR	NTRK1
ABR	PDGFRB
ABR	PIM1
ABR	RAF1
ABR	RALGDS
ABR	RET
ABR	ROS1
ABR	SEPT6
ABR	SRGAP3
ABR	STK11
ABR	SYK
ACSS1	AKT1
ACSS1	BMPR1A
ACSS1	BRAF
ACSS1	BRD3
ACSS1	CDK4
ACSS1	CDK6
ACSS1	CREBBP
ACSS1	ERBB2
ACSS1	FGFR1
ACSS1	JAK1
ACSS1	JAK2
ACSS1	JAK3
ACSS1	LCK
ACSS1	MAP2K2
ACSS1	NTRK1
ACSS1	PBRM1
ACSS1	PIM1
ACSS1	RAF1
ACSS1	RET
ACSS1	ROS1
ACSS1	SMARCA4
ACSS1	STK11
ACSS1	SYK
ACSS2	AKT1
ACSS2	BMPR1A
ACSS2	BRAF
ACSS2	BRD3
ACSS2	CDK4
ACSS2	CDK6
ACSS2	CREBBP
ACSS2	ERBB2
ACSS2	FGFR1
ACSS2	JAK1
ACSS2	JAK2
ACSS2	JAK3
ACSS2	LCK
ACSS2	MAP2K2
ACSS2	NTRK1
ACSS2	PBRM1
ACSS2	PIM1
ACSS2	RAF1
ACSS2	RET
ACSS2	ROS1
ACSS2	SMARCA4
ACSS2	STK11
ACSS2	SYK
ACTL6A	AKT1
ACTL6A	BMPR1A
ACTL6A	BRAF
