ADAM9	MAD2L2
ADAM9	PRKCD
ADAM9	SH3GL2
ADAM9	SNX9
ADAM9	UBC
ADAMTS1	USP17
ADAMTS1	VEGFA
ADAMTS10	ANXA7
ADAMTS10	CDKN1A
ADAMTS10	HMGCL
ADAMTS10	MAPKSP1
ADAMTS10	PCYT2
ADAMTS10	SMN1
ADAMTS10	TK1
ADAMTS2	PIK3R1
ADAMTSL4	CATSPER1
ADAMTSL4	DLK2
ADAMTSL4	DNPEP
ADAMTSL4	FHL3
ADAMTSL4	GLRX3
ADAMTSL4	KRTAP4-12
ADAMTSL4	NTN4
ADAMTSL4	PLSCR1
ADAMTSL4	SORBS3
ADAMTSL4	SPRY2
ADAMTSL4	STK16
ADAP1	ANP32A
ADAP1	CSNK1A1
ADAP1	GADD45A
ADAP1	GSK3B
ADAP1	NCL
ADAP1	PIK3CA
ADAP1	PRKCE
ADAP1	PRKCI
ADAP1	PRKCZ
ADAP1	PRKD1
ADAP1	PSME3
ADAP2	EEF1G
ADAP2	IKBKG
ADAP2	SNCA
ADAR	HDAC5
ADAR	HDLBP
ADAR	SUMO1
ADAR	TAT
ADAR	XPO1
ADARB1	PIN1
ADARB1	PPP2CB
ADARB1	WWP2
ADAT3	KAT2A
ADCK2	UBC
ADCK2	YWHAQ
ADCY2	ADCY5
ADCY5	GNAI1
ADCY5	MYCBP2
ADCY5	RGS2
ADCY6	CHRNA7
ADCY6	GNAS
ADCY8	CALM2
ADCY9	UBC
ADCYAP1	CPAMD8
ADCYAP1	SCTR
ADD1	CALM1
ADD1	CSNK2B
ADD1	GEMIN7
ADD1	HDAC1
ADD1	HSPH1
ADD1	ID2
ADD1	ID3
ADD1	MAP1LC3B
ADD1	SIN3A
ADD1	SMARCA2
ADD1	SMARCA4
ADD1	SMARCC1
ADD1	SPTA1
ADD1	SPTAN1
ADD1	SPTB
ADD1	TK1
ADD2	FYN
ADD2	RPH3A
ADH5	CHD3
ADH5	TP53
ADH5	TP63
ADH5	TP73
ADI1	DBT
ADI1	OSTF1
ADNP	ARID1A
ADNP	MAP1LC3B
ADNP	SMARCA4
ADNP	SMARCC2
ADNP2	NFYC
ADORA1	DRD1
ADORA1	GNAI2
ADORA1	GRM1
ADORA1	P2RY1
ADORA2A	DRD2
ADORA2B	EZR
ADORA2B	SLC9A3R2
ADORA3	YWHAQ
ADORA3	YWHAZ
ADPRHL2	FRA10AC1
ADPRHL2	HEXDC
ADRA1B	AP2M1
ADRA2A	PPP1R9B
ADRA2B	EIF2B1
ADRA2B	PPP1R9B
ADRA2C	EIF2B1
ADRA2C	PPP1R9B
ADRB1	ARRB1
ADRB1	DLG4
ADRB1	GIPC1
ADRB2	ADRBK1
ADRB2	AKAP12
ADRB2	ARRB2
ADRB2	ARRDC3
ADRB2	CAV3
ADRB2	CUL2
ADRB2	EGLN3
ADRB2	EIF2B1
ADRB2	GRB2
ADRB2	GRK6
ADRB2	KCNJ3
ADRB2	KCNJ5
ADRB2	MDM2
ADRB2	NEDD4
ADRB2	OPRD1
ADRB2	PPP3CA
ADRB2	SLC9A3R1
ADRB2	SLC9A3R2
ADRB2	SRC
ADRB2	TCEB1
ADRB2	UBC
ADRB2	VHL
ADRB3	SRC
ADRBK1	AGTR1
ADRBK1	CAV1
ADRBK1	CCR4
ADRBK1	CSNK2B
ADRBK1	EDNRB
ADRBK1	FSHR
ADRBK1	GIT1
ADRBK1	GIT2
ADRBK1	GNA15
ADRBK1	GNAQ
ADRBK1	GNB1
ADRBK1	HDAC5
ADRBK1	PDC
